Names,Category,Time_Open,Link,Rating
Դեսիգուալ Դալմա Գարդեն Մոլլ,ՆՎԵՐ ՔԱՐՏԵՐ,12:00 - 22:00,https://www.menu.am/restaurant/desigual-dalma-garden-mall.html,0
Կլասիկ Բուրգեր Տերյան,Ամերիկյան,10:00 - 02:00,https://www.menu.am/restaurant/classic-burger-teryan.html,4.8
Դը Պարկ,"Եվրոպական, Իտալական",12:00 - 23:00,https://www.menu.am/restaurant/the-park.html,4
Ջանո,Արևելյան,11:00 - 23:00,https://www.menu.am/restaurant/jano.html,4.3
Կառնուտ Շաուրմա,Շաուրմա,24 ժամ,https://www.menu.am/restaurant/karnut-shaurma.html,4.9
Վերնիանո,"Սուրճ և Թեյ, Իտալական",10:00 - 22:00,https://www.menu.am/restaurant/vergnano.html,1.5
Հեմինգուեյս,"Ըմպելիքներ և Խորտիկներ, Գարեջրատուն և Փաբ",12:00 - 04:00,https://www.menu.am/restaurant/hemingways-pub.html,0
Կանտատա,Սուրճ և Թեյ,10:00 - 22:00,https://www.menu.am/restaurant/cantata.html,0
Կարմիր Գլխարկ,"Քաղցրավենիք, Կարկանդակ",10:00 - 21:00,https://www.menu.am/restaurant/karmir-glkhark.html,4.2
Դոլչետտո,Ծաղիկներ և Փուչիկներ,08:20 - 22:00,https://www.menu.am/restaurant/dolchetto.html,0.5
Լա Բուլանժերի դե Փարիզ Դալմա մոլլ,"Սուրճ և Թեյ, Ֆրանսիական",12:00 - 22:00,https://www.menu.am/restaurant/la-boulangerie-de-paris.html,5
Էլ Գարդեն,Հայկական,10:00 - 23:00,https://www.menu.am/restaurant/el-garden.html,0
Բրաբիոն,Ծաղիկներ և Փուչիկներ,08:30 - 19:00,https://www.menu.am/restaurant/brabion.html,3.9
Պեչկա Սլոյկա,"Կիսաֆաբրիկատներ, Կարկանդակ",09:00 - 18:00,https://www.menu.am/restaurant/pechka-sloyka.html,0
Տնական գյուղմթերք,"Գաստրոնոմ, Հայկական",08:00 - 21:00,https://www.menu.am/restaurant/tnakan-gyughmterq.html,4
Գրին Բին,Եվրոպական,09:00 - 22:00,https://www.menu.am/restaurant/the-green-bean.html,4.3
Արտբրիջ,Եվրոպական,10:00 - 23:00,https://www.menu.am/restaurant/artbridge.html,5
Այնթապ Հրուշակեղեն,"Քաղցրավենիք, Արևելյան",10:00 - 23:00,https://www.menu.am/restaurant/anteb-sweet.html,2.8
Լայֆ Ֆուդ,"Առողջ ապրելակերպ, Եվրոպական",09:30 - 18:00,https://www.menu.am/restaurant/life-food.html,4.5
Ֆլոր դե Սթար,Ծաղիկներ և Փուչիկներ,09:00 - 00:00,https://www.menu.am/restaurant/flor-de-star.html,3
Իմպրեսսո,"Եվրոպական, Սուրճ և Թեյ",09:30 - 00:00,https://www.menu.am/restaurant/impresso.html,0
Լա Ֆլոր,Ծաղիկներ և Փուչիկներ,08:00 - 22:30,https://www.menu.am/restaurant/la-flor.html,4
Մեգա Թոյս,ՆՎԵՐ ՔԱՐՏԵՐ,11:00 - 20:00,https://www.menu.am/restaurant/mega-toys-gift-card.html,0
Մայ Լանչ,"Լանչ, Հայկական",09:00 - 19:00,https://www.menu.am/restaurant/my-lunch.html,3
Վինո & Վինո,Ըմպելիքներ և Խորտիկներ,10:00 - 20:00,https://www.menu.am/restaurant/vino-and-vino.html,5
Nvirir.net,Ծաղիկներ և Փուչիկներ,10:00 - 21:00,https://www.menu.am/restaurant/nvirirnet.html,3
Գնդիկ Բոքոնիկ Լահմաջո,Լահմաջո,24 ժամ,https://www.menu.am/restaurant/gndik-boqonik-lahmajo.html,4.3
Կինոլոգիական Միություն,Ընտանի կենդանիների կերեր,10:00 - 20:00,https://www.menu.am/restaurant/cynological-union.html,4.5
Վահագնի Ռեստորան,"Եվրոպական, Հայկական",12:00 - 21:00,https://www.menu.am/restaurant/the-vahakni-restaurant.html,0
Նարինե Ջելլի Տորթ,"Քաղցրավենիք, Եվրոպական",11:00 - 00:00,https://www.menu.am/restaurant/narine-jelly.html,0
Թի ընդ Քոֆի Պլանետ,Սուրճ և Թեյ,09:30 - 21:30,https://www.menu.am/restaurant/tea-and-coffee-planet.html,0
Էվն Գիֆթս,"Քաղցրավենիք, Եվրոպական",10:00 - 19:00,https://www.menu.am/restaurant/evn-gifts.html,4.5
Մանե Բար,Իտալական,12:00 - 23:00,https://www.menu.am/restaurant/mane-bar.html,5
Ոզնի,Հայկական,10:00 - 22:00,https://www.menu.am/restaurant/vozni.html,0
Տոգաս Դալմա Գարդեն մոլ,ՆՎԵՐ ՔԱՐՏԵՐ,12:00 - 22:00,https://www.menu.am/restaurant/togas-gift-card.html,0
Նոմի մանկական կոսմետիկա,Գեղեցկություն և առողջություն,10:00 - 20:00,https://www.menu.am/restaurant/nomi-cosmetics.html,0
Բայազետ,Թարմ միս և մսամթերք,09:00 - 18:00,https://www.menu.am/restaurant/bayazet.html,1
Փինկ Բերրի,"Քաղցրավենիք, Սուրճ և Թեյ, Ֆրեշ, Պաղպաղակ",10:00 - 22:00,https://www.menu.am/restaurant/pink-berry.html,1
Շաուրմա Խչոյի մոտ,"Խորոված, քյաբաբ, Շաուրմա",09:30 - 23:30,https://www.menu.am/restaurant/shawarma-khchoyi-mot.html,4.4
Ռենա,Հայկական,11:00 - 22:30,https://www.menu.am/restaurant/rena-restaurant.html,3
Մարիաննա Ֆուդ,Կիսաֆաբրիկատներ,24 ժամ,https://www.menu.am/restaurant/marianna-food.html,0
Կոֆիսթորի,"Եվրոպական, Սուրճ և Թեյ",10:00 - 23:00,https://www.menu.am/restaurant/coffeestory.html,3
Ածուխ Թոնրատուն,Հայկական,10:30 - 23:00,https://www.menu.am/restaurant/atsukh-tonratun.html,4.6
Սքայ Հոթ Դոգ,Ամերիկյան,10:00 - 22:00,https://www.menu.am/restaurant/sky-hot-dog.html,5
Մոլինարի Երևան մոլլ,"Սուրճ և Թեյ, Իտալական",12:00 - 22:00,https://www.menu.am/restaurant/molinari-caffe.html,0.5
